student_id,branch,cgpa,percentage,backlogs,aptitude_score,technical_skills,placed
STU1000,Electronics & Communication,7.95,75.2,0,77.1,"Python, SQL, React, Data Structures, Git, Docker",1
STU1001,Computer Science & Engineering,9.08,86.8,0,82.1,"C++, Data Structures, Algorithms, System Design, Linux, Git",1
STU1002,Computer Science & Engineering,6.88,66.4,0,61.5,"C, C++, Embedded Systems, RTOS, Linux",1
STU1003,Computer Science & Engineering,6.89,60.2,0,81.3,"Python, SQL, React, Data Structures, Git, Docker",1
STU1004,Electrical Engineering,6.29,60.4,0,55.3,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
STU1005,Information Technology,5.85,54.3,0,76.4,"C, C++, Embedded Systems, RTOS, Linux",0
STU1006,Artificial Intelligence & Data Science,6.8,64.8,0,51.9,"C, C++, Embedded Systems, RTOS, Linux",1
STU1007,Electronics & Communication,7.81,73.0,0,81.3,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1008,Information Technology,6.74,67.7,1,67.8,"Python, SQL, React, Data Structures, Git, Docker",1
STU1009,Electronics & Communication,6.24,58.8,0,73.5,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1010,Computer Science & Engineering,7.63,68.6,0,49.4,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1011,Electronics & Communication,7.62,72.8,0,80.3,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1012,Electronics & Communication,7.27,68.5,1,47.3,"SQL, Excel, Tableau, Python, Data Analytics",0
STU1013,Electrical Engineering,6.61,60.1,1,55.7,"Python, Django, PostgreSQL, Git",1
STU1014,Computer Science & Engineering,7.76,72.9,0,58.5,"Java, SQL, HTML, CSS, Problem Solving",1
STU1015,Electronics & Communication,8.07,77.8,0,80.4,"SQL, Excel, Tableau, Python, Data Analytics",1
STU1016,Computer Science & Engineering,6.48,60.9,0,72.6,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1017,Computer Science & Engineering,8.47,80.1,0,62.3,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB",1
STU1018,Artificial Intelligence & Data Science,8.29,81.5,1,67.0,"Java, Spring Boot, MySQL, REST APIs, Microservices, DSA",1
STU1019,Information Technology,8.5,82.7,0,79.1,"AWS, Python, Terraform, Docker, Kubernetes, CI/CD",1
STU1020,Electronics & Communication,7.36,73.0,0,31.3,"Python, Machine Learning, Pandas, Scikit-learn, SQL, PowerBI",1
